Main,Featuring,peakPos
Far*East Movement,Cataracs,1
Far*East Movement,Justin Bieber,21
Far*East Movement,Ryan Tedder,7
Fat Joe,Dre,97
Fat Joe,Chris Brown,80
Fat Joe,Remy Ma,27
Fetty Wap,Monty,7
Fetty Wap,Remy Boyz,4
Fifth Harmony,Fetty Wap,24
Fifth Harmony,Gucci Mane,42
Fifth Harmony,Kid Ink,12
Fifth Harmony,Ty Dolla $ign,4
Five Finger Death Punch,Kenny Wayne Shepherd,66
Flo Rida,Akon,29
Flo Rida,David Guetta,9
Flo Rida,Jason Derulo,79
Flo Rida,Robin Thicke,43
Flo Rida,Sage The Gemini,8
Flo Rida,Sia,5
Florida Georgia Line,Backstreet Boys,46
Florida Georgia Line,Nelly,4
Florida Georgia Line,Tim McGraw,30
Flume,Kai,20
Flume,Tove Lo,60
French Montana,Blueface,90
French Montana,Drake,36
French Montana,Jeremih,95
French Montana,Kodak Black,73
French Montana,Nicki Minaj,77
French Montana,Post Malone,56
French Montana,Rick Ross,36
French Montana,Swae Lee,3
French Montana,The Weeknd,75
fun.,Janelle Monae,1
Future,Juice WRLD,72
Future,Young Thug,50
Future,Drake,28
Future,Kanye West,98
Future,Lil Uzi Vert,54
Future,Lil Wayne,82
Future,Nicki Minaj,38
Future,Pharrell,46
Future,Rihanna,37
Future,T.I.,69
Future,The Weeknd,18
Future,Travis Scott,47
Future,YG,99
Future,Young Thug,84
Future,YoungBoy Never Broke Again,34
G Herbo,Chance The Rapper,38
G-Eazy,A$AP Rocky,4
G-Eazy,blackbear,71
G-Eazy,Chris Brown,98
G-Eazy,Marc E. Bassy,97
G-Eazy,Remo,98
G-Eazy,Yo Gotti,70
Gabby Barrett,Charlie Puth,3
Game,Chris Brown,81
Game,Lil Wayne,62
Game,Lil Wayne,100
Glee Cast,2Cellos,26
Glee Cast,Gwyneth Paltrow,18
Glee Cast,Idina Menzel,31
Glee Cast,Jonathan Groff,35
Glee Cast,Kristin Chenoweth,90
Glee Cast,Neil Patrick Harris,26
Glee Cast,Olivia Newton-John,89
Glee Cast,Ricky Martin,99
gnash,Johnny Yukon,76
gnash,Olivia O'Brien,10
GoldLink,Brent Faiyaz,45
Gorilla Zoe,Lil Jon,77
Gorillaz,George Benson,85
Gotye,Kimbra,1
Grace,G-Eazy,57
Green Shoe Studio,Jacob Colgan,42
Gucci Mane,Drake,41
Gucci Mane,Kanye West,89
Gucci Mane,Kodak Black,100
Gucci Mane,Migos,11
Gucci Mane,Offset,88
Gucci Mane,Plies Or OJ Da Juiceman,36
Gucci Mane,Slim Jxmmi,95
Gucci Mane,The Weeknd,67
Gucci Mane,Usher,42
Gunna,Lil Baby,59
Gunna,Playboi Carti,97
Gunna,Roddy Ricch,41
Gunna,Travis Scott,55
Gunna,Young Thug,74
Gym Class Heroes,Adam Levine,4
Gym Class Heroes,Neon Hitch,12
Gym Class Heroes,Ryan Tedder,25
H.E.R.,Bryson Tiller,76
H.E.R.,YG,43
Hailee Steinfeld,Alesso,40
Hailee Steinfeld,Grey,12
Halsey,Big Sean,66
Halsey,Lauren Jauregui,100
Hannah Montana,Iyaz,66
HARDY,Lauren Alaina,33
Havana Brown,Pitbull,26
Hoodie Allen,Ed Sheeran,71
Hot Chelle Rae,New Boyz,28
Huncho Jack,Offset,83
Huncho Jack,Takeoff,65
Hunter Hayes,Jason Mraz,77
Hustle Gang,T.I.,88
I LOVE MAKONNEN,Drake,12
Icona Pop,Charli XCX,7
Iggy Azalea,Charli XCX,1
Iggy Azalea,Jennifer Hudson,67
Iggy Azalea,M0,27
Iggy Azalea,Rita Ora,3
Internet Money,Gunna,6
Internet Money,Juice WRLD,79
Iyaz,Travie McCoy,43
J Balvin,Willy William,3
j-hope,Becky G.,81
J. Cole,Amber Coffman,90
J. Cole,kiLL edward,46
J. Cole,Miguel,19
J. Cole,Missy Elliott,61
J. Cole,TLC,27
J. Cole,Trey Songz,52
Jack Harlow,DaBaby,2
JACKBOYS,Don Toliver,56
JACKBOYS,Young Thug,38
Jake Paul,Erika Costell,86
Jake Paul,Team 10,91
James Newton Howard,Jennifer Lawrence,12
Jamie Foxx,Chris Brown,93
Jamie Foxx,Drake,50
Jamie Foxx,Justin Timberlake,28
Janet,J. Cole,63
Jason Aldean,Miranda Lambert,32
Jason Derulo,2 Chainz,3
Jason Derulo,Nicki Minaj,29
Jason Derulo,Snoop Dogg,5
Jay Sean,Lil Wayne,1
Jay Sean,Nicki Minaj,31
Jay Sean,Pitbull,85
Jay Sean,Sean Paul,10
Jay Z,Beyonce,77
Jay Z,Frank Ocean,83
Jay Z,Justin Timberlake,4
Jay Z,Rick Ross,64
Jay Z Kanye West,Frank Ocean,72
Jay Z Kanye West,Otis Redding,12
JAY-Z,Beyonce,51
JAY-Z,"Damian ""Jr. Gong"" Marely",47
JAY-Z,Frank Ocean,63
JAY-Z,Gloria Carter,56
Jeezy,Jay Z,85
Jennifer Hudson,Ne-Yo,90
Jennifer Hudson,The Roots,98
Jennifer Lopez,DJ Khaled,80
Jennifer Lopez,French Montana,77
Jennifer Lopez,Iggy Azalea Or Pitbull,18
Jennifer Lopez,Lil Wayne,41
Jennifer Lopez,Pitbull,3
Jeremih,50 Cent,4
Jeremih,J. Cole,44
Jeremih,YG,6
Jesse McCartney,T-Pain,35
Jessie J,2 Chainz,86
Jessie J,B.o.B,23
Jhene Aiko,Big Sean,55
Jhene Aiko,Future,65
Jhene Aiko,H.E.R.,24
Jhene Aiko,Swae Lee Or Rae Sremmurd,74
Jidenna,Roman GianArthur,22
Jill Scott,Anthony Hamilton,97
Jimmy Fallon,will.i.am,26
Joe Budden,Lil Wayne,96
John Legend,Ludacris,79
John Mayer,Katy Perry,48
John Rich,The Five,91
Jonas Blue,Dakota,98
Jonas Brothers,Karol G,33
Jonn Hart,IamSU!,66
Joyner Lucas,Logic,59
JP Saxe,Julia Michaels,27
Juice WRLD,Marshmello,10
Juice WRLD,Lil Uzi Vert,67
Juicy J,Big Sean,75
Juicy J,Lil Wayne,29
Juicy J,Wale,74
Juicy J,Wiz Khalifa,84
Justin Bieber,Big Sean,6
Justin Bieber,Busta Rhymes,86
Justin Bieber,Chance The Rapper,41
Justin Bieber,Drake,95
Justin Bieber,Halsey,31
Justin Bieber,Jaden Smith,8
Justin Bieber,Kehlani,93
Justin Bieber,Ludacris,5
Justin Bieber,Nas,88
Justin Bieber,Nicki Minaj,5
Justin Bieber,Post Malone,24
Justin Bieber,Quavo,5
Justin Bieber,R. Kelly,54
Justin Bieber,Travi$ Scott,54
Justin Bieber,Usher,15
Justin Timberlake,Matt Morris,13
Justin Timberlake,Chris Stapleton,9
Justin Timberlake,JAY Z,3
K'Naan,Nelly Furtado,92
Kane Brown,Lauren Alaina,26
Kanye West,Ant Clemons,51
Kanye West,Cam'ron,18
Kanye West,Clipse,37
Kanye West,DJ Khaled,86
Kanye West,Fred Hammond,60
Kanye West,Jay-Z,18
Kanye West,PARTYNEXTDOOR,24
Kanye West,Paul McCartney,35
Kanye West,Pusha T,12
Kanye West,Sunday Service Choir,45
Kanye West,T.I.,85
Kanye West,Teyana Taylor,60
Kanye West,Theophilus London,15
Kanye West,Travis Scott,49
Kanye West,Ty Dolla $ign,33
Kaskade,Neon Trees,94
Katy Perry,Juicy J,1
Katy Perry,Kanye West,1
Katy Perry,Migos,59
Katy Perry,Nicki Minaj,46
Katy Perry,Skip Marley,4
Katy Perry,Snoop Dogg,1
KCamp,2 Chainz,49
Ke$ha,3OH!3,7
Ke$ha,Lil Wayne,37
Ke$ha,will.i.am Or Juicy J,40
Kehlani,Jhene Aiko,80
Kehlani,Tory Lanez,50
Kehlani,Ty Dolla $ign,67
Keith Urban,Carrie Underwood,38
Keith Urban,Eric Church,56
Keith Urban,Julia Michaels,50
Kelly Clarkson,Vince Gill,87
Kelly Rowland,Lil Wayne,17
Kendrick Lamar,Bilal,99
Kendrick Lamar,Bilal,94
Kendrick Lamar,Drake,26
Kendrick Lamar,George Clinton,91
Kendrick Lamar,MC Eiht,75
Kendrick Lamar,Rihanna,14
Kendrick Lamar,U2,33
Kendrick Lamar,Zacari,11
Kenny Chesney,Grace Potter,33
Kenny Chesney,P!nk,29
Kesha,The Dap-Kings Horns,96
Kevin Gates,August Alsina,90
Kevin Gates,Trey Songz,97
Kevin Rudolf,Birdman,21
Keyshia Cole,Lil Wayne,84
Khalid,A Boogie Wit da Hoodie,73
Khalid,Empress Of,88
Kid Cudi,Cee-Lo,92
Kid Cudi,Kanye West,22
Kid Cudi,King Chip,74
Kid Cudi,MGMT,59
Kid Ink,Chris Brown,13
Kid Ink,DeJ Loaf,43
Kid Ink,Fetty Wap,57
Kid Ink,Meek Mill,90
Kid Ink,Usher,72
KIDS SEE GHOSTS,Louis Prima,42
King Von,Lil Durk,81
King Von,Polo G,66
Kodak Black,Future,93
Kodak Black,Juice WRLD,58
Kodak Black,Lil Pump,88
Kodak Black,Lil Wayne,52
Kodak Black,Travis Scott,2
Kodak Black,XXXTENTACION,31
Kygo,Conrad,92
Kygo,Miguel,63
KYLE,Lil Yachty,4
Labrinth,Emeli Sande,34
Lady Gaga,Beyonce,3
Lady Gaga,R. Kelly,13
Lana Del Rey,The Weeknd,64
Liam Payne,Quavo,10
Lifehouse,Natasha Bedingfield,79
Lil Baby,Gunna,15
Lil Baby,Gunna,54
Lil Baby,Future,70
Lil Baby,Gunna,66
Lil Baby,Gunna,74
Lil Baby,Lil Uzi Vert,23
Lil Baby,Lil Wayne,64
Lil Baby,Meek Mill,62
Lil Dicky,Chris Brown,8
Lil Dicky,Fetty Wap,71
Lil Durk,Lil Baby,43
Lil Jon,3OH!3,62
Lil Jon,LMFAO,84
Lil Jon,Tyga,92
Lil Nas X,Billy Ray Cyrus,1
Lil Peep,iLoveMakonnen,62
Lil Pump,Lil Wayne,72
Lil Skies,Landon Cube,98
Lil Skies,Yung Pinch,79
Lil Tecca,Polo G,90
Lil Tjay,Fivio Foreign,65
Lil Uzi Vert,Chief Keef,19
Lil Uzi Vert,Future,54
Lil Uzi Vert,Lil Durk,76
Lil Uzi Vert,NAV,72
Lil Uzi Vert,Nicki Minaj,24
Lil Uzi Vert,Pharrell Williams,79
Lil Uzi Vert,Syd,76
Lil Uzi Vert,The Weeknd,84
Lil Uzi Vert,Young Nudy,89
Lil Uzi Vert,Young Thug,87
Lil Uzi Vert,Young Thug,60
Lil Wayne,2 Chainz,38
Lil Wayne,Ashanti,76
Lil Wayne,Big Sean,38
Lil Wayne,Big Sean,33
Lil Wayne,Bruno Mars,16
Lil Wayne,Cory Gunz,9
Lil Wayne,Detail,29
Lil Wayne,Drake,6
Lil Wayne,Drake,9
Lil Wayne,Drake,79
Lil Wayne,Eminem,18
Lil Wayne,Gudda,76
Lil Wayne,John Legend,95
Lil Wayne,Kendrick Lamar,2
Lil Wayne,Nicki Minaj,44
Lil Wayne,Nivea,90
Lil Wayne,Reginae Carter,36
Lil Wayne,Rick Ross,22
Lil Wayne,Shanell AKA SNL,91
Lil Wayne,Snoop Dogg,39
Lil Wayne,Sosamann,24
Lil Wayne,T-Pain,84
Lil Wayne,Travis Scott,10
Lil Wayne,XXXTENTACION,5
Lil Yachty,Tierra Whack,83
Lil Yachty,Juice WRLD,91
Lil Yachty,Migos,78
Lil Yachty,NBA YoungBoy,63
Lil Yachty,Playboi Carti,98
Lil Yachty,Trippie Redd,73
Lil Yachty,Ugly God,88
Lil' Duval,Snoop Dogg,56
Lin-Manuel Miranda,Artists For Puerto Rico,20
Linkin Park,Kiiara,45
Lloyd Banks,Juelz Santana,49
Lloyd,Andre 3000,79
LMFAO,Lauren Bennett,1
LMFAO,Lil Jon,68
Logic,Alessia Cara,3
Logic,Big Sean,83
Logic,Damian Lemar Hudson,87
Logic,Eminem,5
Logic,Ryan Tedder,80
Logic,Wiz Khalifa,56
Logic,Young Sinatra,98
Lorde,Khalid,92
Loud Luxury,Brando,80
Louis Tomlinson,Bebe Rexha,40
LoveRance,IamSu,46
Ludacris,Kelly Rowland,97
Ludacris,Miguel,91
Ludacris,Nicki Minaj,11
Ludacris,Trey Songz,69
Ludacris,Usher,72
Luis Fonsi,Daddy Yankee,1
Luke Bryan,Karen Fairchild,38
Luke Combs,Amanda Shires,70
Luke Combs,Eric Church,20
Lupe Fiasco,Ed Sheeran,93
Lupe Fiasco,MDMA,70
Lupe Fiasco,Skylar Grey,89
Lupe Fiasco,Trey Songz,40
Machine Gun Kelly,Hailee Steinfeld,60
Macklemore,Ryan Lewis,12
Macklemore,Ryan Lewis,11
Macklemore,Ryan Lewis,1
Macklemore,Ryan Lewis,15
Macklemore,Ryan Lewis,1
Macklemore,Kesha,48
Macklemore,Skylar Grey,49
Madonna,Nicki Minaj,84
Madonna,Nicki Minaj,10
Maejor Ali,Juicy J,19
Major Lazer,DJ Snake,4
Major Lazer,Bruno Mars,56
Major Lazer,Ellie Goulding,83
Major Lazer,Justin Bieber,2
Major Lazer,Nyla,73
Major Lazer,PARTYNEXTDOOR,66
Major Lazer,Travis Scott,87
Mana,Prince Royce,100
Marc E. Bassy,G-Eazy,58
Maren Morris,Vince Gill,91
Mariah Carey,Miguel,15
Mariah Carey,Nicki Minaj,100
Mariah Carey,YG,89
Mark Ronson,Bruno Mars,1
Mark Ronson,Miley Cyrus,43
Maroon 5,Cardi B,1
Maroon 5,Christina Aguilera,1
Maroon 5,Future,16
Maroon 5,Kendrick Lamar,6
Maroon 5,Rozzi Crane,83
Maroon 5,SZA,9
Maroon 5,Wiz Khalifa,2
Marshmello,A Day To Remember,92
Marshmello,CHVRCHES,31
Marshmello,Khalid,30
Martin Garrix,Khalid,78
Martin Garrix,Macklemore,100
Mary J. Blige,Drake,87
Matt Nathanson,Sugarland,53
MAX,gnash,20
Meek Mill,21 Savage,78
Meek Mill,Cardi B,30
Meek Mill,Chris Brown,21
Meek Mill,Chris Brown,51
Meek Mill,Drake,57
Meek Mill,Ella Mai,54
Meek Mill,Fabolous,39
Meek Mill,Future,91
Meek Mill,Future,77
Meek Mill,Jeremih,31
Meek Mill,Justin Timberlake,90
Meek Mill,Kirko Bangz,86
Meek Mill,Kodak Black,72
Meek Mill,Lil Uzi Vert,97
Meek Mill,Lil Uzi Vert,68
Meek Mill,Nicki Minaj,78
Meek Mill,Quavo,84
Meek Mill,Rick Ross,20
Meek Mill,Roddy Ricch,73
Meek Mill,Swizz Beatz,73
Meek Mill,T.I.,51
Meek Mill,Tory Lanez,49
Meek Mill,Young Thug,96
Meek Mill,Young Thug,70
Megan Thee Stallion,DaBaby,36
Megan Thee Stallion,Young Thug,30
Meghan Trainor,John Legend,8
Meghan Trainor,Nicki Minaj,89
Metro Boomin,21 Savage,42
Metro Boomin,Gunna,51
Metro Boomin,Offset,71
